row,uchastok,category,name,type,status,status_fill,executor,cost_mln,remarks_rsk
22,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,Опоры,Опв 1-6,фм,согласовано к подписанию,FFFFC000,Денисов М.,11.28,175-обр.засыпка;198-замена грунта;225-расхожд.план-выс.отметок
24,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,Опоры,Н1-4,фм,Подписано до до бетона,FF92D050,Ефремов А.,4.87,213-ж/б пов-ть
26,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,Опоры,ОПн1-14.1,фм,,,Денисов М.,3.92,175-обр.засыпка;225-расхожд.план-выс.отметок;375-ж/б пов-ть
28,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,Опоры,Опв 7-9,фм,согласовано к подписанию,FFFFC000,Денисов М.,3.88,
30,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,Опоры,ОПн15-18,рсм,Подписаны сваи,FFFFC000,Денисов М.,0.3,
32,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,Опоры,ОПн19-47 +57,рсм,Подписаны сваи,FFFFC000,Денисов М.,1.32,67-замена грунта;140-замена грунта;375-ж/б пов-ть
34,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,Опоры,"ОПн24, 58, 111.1-114.1, 116",фм,согласовано к подписанию,FFFFC000,Денисов М.,2.41,375-ж/б пов-ть
36,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,Опоры,Н5-18,фм,,,Ефремов А.,11.51,127-досыпка грунта;154-обр.засыпка;156-обр.засыпка
38,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,Опоры,"ОПн48-56, 115, 117",рсм,Подписаны сваи,FFFFC000,Денисов М.,0.5,
40,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,Опоры,"ОПн59-65, 77, 102, 103",рсм,Подписаны сваи,FFFFC000,Денисов М.,0.45,
42,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,Опоры,"ОПн67-76, 78-94, 95-101,
104-111,187, 191-196,199
227-241, 243-253.2",рсм,Подписаны сваи,FFFFC000,Денисов М.,2.07,60-ж/б пов-ть;66-ж/б пов-ть;375-ж/б пов-ть
